Job Title,Company Name,Location,Job Time,Category,Salary,Post Date,Deadline,Job URL,Company Logo URL
Mal qəbulçusu,Melissa Store,"Bakı, 20 yanvar mts yaxınlığı, Hesen Bey Zərdabi 92A (Melissa store)",Tam-ştat,Digər,600 - 650 AZN,03 aprel 2025,03 may 2025,https://www.hellojob.az/vakansiya/mal-qebulcusu-904992,
Qeydiyyatçı,EDUGrata Təhsil Mərkəzi,Bakı,Tam-ştat,Xüsusi təhsil/ Təlim,Razılaşma ilə,03 aprel 2025,03 may 2025,https://www.hellojob.az/vakansiya/qeydiyyatci-904991,https://www.hellojob.az/resized/companies/7986870344ee9df117a7f1606eb48760-120--resize.webp
Avropada Təhsil üzrə mütəxəssis,Edumax,Bakı,Tam-ştat,Təhsil və elm,Razılaşma ilə,03 aprel 2025,03 may 2025,https://www.hellojob.az/vakansiya/tehsil-meneceri-904990,https://www.hellojob.az/resized/companies/a9a5f72308f4c46938c0ce45d1c8cfab-120--resize.webp
Rus dili müəllimi,Wisest Academy,"Bakı, Nərimanov",Tam-ştat,Digər,500 - 600 AZN,03 aprel 2025,03 may 2025,https://www.hellojob.az/vakansiya/rus-dili-muellimi-904989,
Müştəri xidmətləri üzrə mütəxəssis,Kargolux,"Bakı, Nərimanov rayonu",Tam-ştat,Operator,500 - 600 AZN,03 aprel 2025,03 may 2025,https://www.hellojob.az/vakansiya/musteri-xidmetleri-uzre-mutexessis-904988,https://www.hellojob.az/resized/companies/3bd2edef016b1bfd8bbac5f1582ab4a7-120--resize.webp
Senior Product Owner,Afea Group,Bakı,Tam-ştat,Digər,Razılaşma ilə,03 aprel 2025,03 may 2025,https://www.hellojob.az/vakansiya/senior-product-owner,https://www.hellojob.az/resized/companies/c03ef9673cb34ec0fba1e042360637e4-120--resize.webp
Lizinq mütəxəssisi,İdeal Kredit,Bakı,Tam-ştat,Kredit mütəxəssisi,Razılaşma ilə,03 aprel 2025,03 may 2025,https://www.hellojob.az/vakansiya/lizinq-mutexessisi-904986,
Sushimen,Buddha Sushi,"Bakı, Nizami küç.182e",Tam-ştat,Restoran işi,Razılaşma ilə,02 aprel 2025,02 may 2025,https://www.hellojob.az/vakansiya/sushimen,
Ofisiant,The Attack,"Bakı, Neftçilər prospekti 153",Tam-ştat,Ofisiant,600 AZN,02 aprel 2025,02 may 2025,https://www.hellojob.az/vakansiya/ofisiant-904983,
Təmizlikçi,ŞEH MMC,"Bakı, Bakı şəhəri",Tam-ştat,Digər,550 AZN,02 aprel 2025,02 may 2025,https://www.hellojob.az/vakansiya/temizlikci-904985,
Qızıl girovlu kreditlər üzrə Mütəxəssis,İdeal Kredit,Bakı,Tam-ştat,Kredit mütəxəssisi,Razılaşma ilə,02 aprel 2025,02 may 2025,https://www.hellojob.az/vakansiya/qizil-girovlu-kreditler-uzre-mutexessis,
Qeydiyyatçı,1st Fitness MMC,"Bakı, 28 may,Vurgun Residence",Tam-ştat,Katibə / Resepşn,500 AZN,02 aprel 2025,02 may 2025,https://www.hellojob.az/vakansiya/qeydiyyatci-904980,https://www.hellojob.az/resized/companies/c38b2ebc2ca4c71cc1c72058a9c8476f-120--resize.webp
Avtomobil Brend Menecer,INEX MEDİCAL,"Bakı, Çapayev",Tam-ştat,Menecer,800 AZN,02 aprel 2025,02 may 2025,https://www.hellojob.az/vakansiya/avtomobil-brend-menecer,
