Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year,DOI
56,"P Bian, Y Jin, N Zhang",Fuzzy c-means clustering based digital camouflage pattern design and its evaluation,30,2010, ieeexplore.ieee.org, IEEE 10th International conference on …,https://ieeexplore.ieee.org/abstract/document/5655856/,2,10.1109/icosp.2010.5655856
30,"D Mújica-Vargas, JMV Kinani, JJ Rubio",Color-based image segmentation by means of a robust intuitionistic fuzzy c-means algorithm,29,2020, Springer, International Journal of Fuzzy …,https://link.springer.com/article/10.1007/s40815-020-00824-x,5,10.1007/s40815-020-00824-x
13,S Arumugadevi…,Comparison of clustering methods for segmenting color images,29,0,2.amazonaws …,,https://sciresol.s3.us-east-2.amazonaws.com/IJST/Articles/2015/Issue-7/Article6.pdf,0,10.17485/ijst/2015/v8i7/62862
16,"MA Almahfud, R Setyawan, CA Sari…",An effective MRI brain image segmentation using joint clustering (K-Means and Fuzzy C-Means),28,2018, ieeexplore.ieee.org, … seminar on research …,https://ieeexplore.ieee.org/abstract/document/8864326/,4,10.1109/isriti.2018.8864326
19,"KM Nimeesha, RM Gowda",Brain tumour segmentation using Kmeans and fuzzy c-means clustering algorithm,28,2013, academia.edu, Int J Comput Sci Inf Technol Res Excell,https://www.academia.edu/download/41460103/Brain_Tumour_Segmentation_Using_K-Means_20160122-6250-172mhpe.pdf,2,10.15623/ijret.2016.0509004
92,"Y Karaca, C Cattani, M Moonis, Ş Bayrak",Stroke Subtype Clustering by Multifractal Bayesian Denoising with Fuzzy C Means and K‐Means Algorithms,27,2018, Wiley Online Library, Complexity,https://onlinelibrary.wiley.com/doi/abs/10.1155/2018/9034647,3,10.1155/2018/9034647
18,"Z Liu, F Ding, Y Xu, X Han",Background dominant colors extraction method based on color image quick fuzzy c-means clustering algorithm,24,2021, Elsevier, Defence Technology,https://www.sciencedirect.com/science/article/pii/S2214914720304608,5,10.1016/j.dt.2020.10.002
22,"L Szilágyi, G Dénesi, SM Szilágyi",Fast color reduction using approximative c-means clustering models,23,2014, ieeexplore.ieee.org,IEEE …,https://ieeexplore.ieee.org/abstract/document/6891638/,2,10.1109/fuzz-ieee.2014.6891638
76,T Chaira,Intuitionistic fuzzy color clustering of human cell images on different color models,21,2012, content.iospress.com, Journal of Intelligent & Fuzzy Systems,https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs494,2,10.3233/ifs-2012-0494
39,"HR Shaaban, FA Obaid, AA Habib",Performance evaluation of K-mean and fuzzy C-mean image segmentation based clustering classifier,21,2015, academia.edu, Perform. Eval,https://www.academia.edu/download/52662593/-Performance_Evaluation_of_K_Mean_and_Fuzzy.pdf,2,10.14569/ijacsa.2015.061224
20,"PT Lin, BR Lin",Fuzzy automatic contrast enhancement based on fuzzy C-means clustering in CIELAB color space,20,2016, ieeexplore.ieee.org, … 12th IEEE/ASME International Conference on …,https://ieeexplore.ieee.org/abstract/document/7587156/,2,10.1109/mesa.2016.7587156
38,"A Pickens, S Sengupta","Benchmarking studies aimed at clustering and classification tasks using K-means, fuzzy C-means and evolutionary neural networks",20,2021, mdpi.com, Machine Learning and Knowledge Extraction,https://www.mdpi.com/2504-4990/3/3/35,4,10.3390/make3030035
64,MF Wang,A study on Fuzzy C‐means application in Austronesian language cultural and creative product colors,20,2018, Wiley Online Library, Color Research & Application,https://onlinelibrary.wiley.com/doi/abs/10.1002/col.22195,2,10.1002/col.22195
8,"L Szilágyi, G Dénesi, L Kovács…",Comparison of Various Improved-Partition Fuzzy c-Means Clustering Algorithms in Fast Color Reduction,19,2014, ieeexplore.ieee.org, 2014 IEEE 12th …,https://ieeexplore.ieee.org/abstract/document/6923585/,2,10.1109/sisy.2014.6923585
82,T Velmurugan,Performance comparison between k-means and fuzzy c-means algorithms using arbitrary data points,18,2012, researchgate.net, Wulfenia journal,https://www.researchgate.net/profile/Velmurugan-Thambusamy/publication/233986635_Performance_Comparison_between_k-Means_and_Fuzzy_C-Means_Algorithms_using_Arbitrary_Data_Points/links/09e4150dc60ff7f5a5000000/Performance-Comparison-between-k-Means-and-Fuzzy-C-Means-Algorithms-using-Arbitrary-Data-Points.pdf,1,10.1016/j.asoc.2014.02.011
