Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year,DOI
3,"Q Wen, ME Celebi",Hard versus fuzzy c-means clustering for color quantization,54,2011, Springer, EURASIP Journal on Advances in Signal Processing,https://link.springer.com/article/10.1186/1687-6180-2011-118,4,10.1186/1687-6180-2011-118
84,"N Gkalelis, A Tefas, I Pitas",Combining fuzzy vector quantization with linear discriminant analysis for continuous human movement recognition,48,2008, ieeexplore.ieee.org, … on Circuits and Systems for Video …,https://ieeexplore.ieee.org/abstract/document/4630765/,3,10.1109/tcsvt.2008.2005617
44,ME Celebi,An Effective Color Quantization Method Based on the Competitive Learning Paradigm.,48,2009, Citeseer, IPCV,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=ca573d3377f7e843b8569e4396787549730af101,3,10.20965/jaciii.2010.p0375
30,"A Abernathy, ME Celebi",The incremental online k-means clustering algorithm and its application to color quantization,45,2022, Elsevier, Expert Systems with Applications,https://www.sciencedirect.com/science/article/pii/S0957417422011708,11,10.1016/j.eswa.2022.117927
76,"R Kaur, A Girdhar, S Gupta",Color image quantization based on bacteria foraging optimization,44,2011, researchgate.net, International Journal of Computer …,https://www.researchgate.net/profile/Surbhi-Gupta-26/publication/253461743_Color_Image_Quantization_based_on_Bacteria_Foraging_Optimization/links/57ed477908ae711da939956a/Color-Image-Quantization-based-on-Bacteria-Foraging-Optimization.pdf,3,10.5120/3042-4130
27,SA El-Said,Image quantization using improved artificial fish swarm algorithm,42,2015, Springer, Soft Computing,https://link.springer.com/article/10.1007/s00500-014-1436-0,4,10.1007/s00500-014-1436-0
42,"S Thompson, ME Celebi, KH Buck",Fast color quantization using MacQueen's k-means algorithm,42,2020, Springer,Time Image …,https://link.springer.com/article/10.1007/s11554-019-00914-6,7,10.1002/1520-684x(200007)31:8<33::aid-scj4>3.0.co;2-c
13,"ME Celebi, Q Wen, S Hwang",An effective real-time color quantization method based on divisive hierarchical clustering,40,2015, Springer,Time Image Processing,https://link.springer.com/article/10.1007/s11554-012-0291-4,4,10.1007/s11554-012-0291-4
37,"H Le Capitaine, C Frélicot",A fast fuzzy c-means algorithm for color image segmentation,40,2011, hal.science, EUSFLAT'2011,https://hal.science/hal-00738414/,3,10.5565/rev/elcvia.361
55,"J Chamorro-Martínez, JM Soto-Hidalgo…",Fuzzy color spaces: A conceptual approach to color vision,34,2016, ieeexplore.ieee.org, … on Fuzzy Systems,https://ieeexplore.ieee.org/abstract/document/7572922/,3,10.1109/tfuzz.2016.2612259
59,"J Chamorro-Martínez, D Sánchez…",A discussion on fuzzy cardinality and quantification. Some applications in image processing,33,2014, Elsevier, Fuzzy Sets and …,https://www.sciencedirect.com/science/article/pii/S0165011413002285,3,10.1016/j.fss.2013.05.009
46,ML Pérez-Delgado,The color quantization problem solved by swarm-based operations,33,2019, Springer, Applied Intelligence,https://link.springer.com/article/10.1007/s10489-018-1389-6,5,10.1007/s10489-018-1389-6
34,"L Feng, H Li, Y Gao, Y Zhang",A color image segmentation method based on region salient color and fuzzy c-means algorithm,31,2020, Springer, Circuits  Systems  and Signal Processing,https://link.springer.com/article/10.1007/s00034-019-01126-w,5,10.1007/s00034-019-01126-w
51,"P Bian, Y Jin, N Zhang",Fuzzy c-means clustering based digital camouflage pattern design and its evaluation,30,2010, ieeexplore.ieee.org, IEEE 10th International conference on …,https://ieeexplore.ieee.org/abstract/document/5655856/,2,10.1109/icosp.2010.5655856
14,"MM Islam, D Zhang, G Lu",Automatic categorization of image regions using dominant color based vector quantization,29,2008, ieeexplore.ieee.org, 2008 Digital Image Computing …,https://ieeexplore.ieee.org/abstract/document/4700020/,2,10.1109/dicta.2008.17
